"root";"kingdom";"phylum";"class";"order";"family";"genus";"species";"abond1";"abond2";"abond3";"abond4";"abond5";"abond6";"abond7";"abond8";"abond9";"abond10";"abond11";"abond12";"abond13";"abond14";"abond15";"abond16";"abond17";"abond18";"abond19";"abond20";"abond21";"abond22";"abond23";"abond24";"abond25";"abond26";"abond27";"abond28";"abond29";"abond30";"abond31";"abond32";"abond33";"abond34";"Mean"
"root";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"None";0.00153702332883227;7.92324536129999e-06;8.75230596854451e-05;0.000328375893716947;0.0010650142324326;0.0014743131727299;0.00111638616785234;4.13493312756082e-05;0.000248267158450192;0.00472790047246085;0;0;0;0;0;0;0;4.35469577732408e-05;0;0;0;0;0.00102419928352574;0.00318308207161225;0.00139231870549913;0.000939591732517037;0.00187413501460864;0;0.000260110578963077;0.0050370155370473;0.000340132294724475;3.10589973828708e-05;0.00041028529578863;0.00447896756402255;0.000872015296948894
"root";"Bacteria";"Actinobacteria";"Actinomycetia";"Bifidobacteriales";"Bifidobacteriaceae";"Bifidobacterium";"None";5.25927571884438e-06;6.48265529560908e-06;0;2.12954535484401e-05;5.13661734402194e-05;1.98694497672493e-06;0;0;1.09191574318372e-05;2.69940007479313e-05;0;9.23237200045093e-06;0;0.000384559055422328;2.90370381471747e-05;2.84027266617595e-05;0.00018057831024667;0.00791284511871264;2.34626970189741e-05;0;0.0066352501221437;0.00313181066196651;0;0.000777759251036944;5.3168830253705e-05;1.44419264143412e-06;5.89058151820748e-06;1.87023114911964e-05;0.00012450312317767;4.23570371877427e-05;1.2632582905273e-05;0;3.34554355350254e-05;1.36553889147029e-05;0.000574795602886521
"root";"Bacteria";"Actinobacteria";"Actinomycetia";"Micrococcales";"Micrococcaceae";"Rothia";"None";2.54198326410812e-05;0.000778638930505935;4.97976029244774e-05;4.72759068775371e-05;6.57086764137872e-05;0.000132727924445225;0.00104654967835308;0.000340743361489223;0.000295966635652428;0.000725875264014495;0.00029626210396638;0;7.70984195887411e-05;0;3.12226216636287e-06;2.40023042212052e-06;9.0289155123335e-06;9.07228286942517e-06;0.000201418229793655;0;0.000245818032206754;0.000438491677727073;8.50730099229691e-05;5.67627804265559e-05;1.60147079077425e-06;0.0017821337195297;7.16170700371541e-05;0.000767939810618104;0;0.000579805345110904;0.000376450970577135;0;0.00187198368834619;0.00550349079719053;0.000467302195003534
"root";"Bacteria";"Actinobacteria";"Coriobacteriia";"Coriobacteriales";"Atopobiaceae";"Atopobium";"None";1.75309190628146e-06;0;0;0.000903779048595799;0;0;1.33021884760481e-06;7.86569985919465e-05;6.03427121233106e-06;0.000215622810852378;0;0.00202383312536201;0.000264261479555892;0.00516069866353748;0.00020856711271304;0.00123491855218101;2.17514782797125e-05;4.31840664584638e-05;0;0;0.000221021941784902;0;0;0;0;0;0;0;0;1.38875531763091e-06;0;9.56290182577864e-05;0;1.10719369578672e-05;0.000308632428541533
"root";"Bacteria";"Actinobacteria";"Coriobacteriia";"Coriobacteriales";"Atopobiaceae";"None";"None";2.05988298988072e-05;0;0;5.11090885162563e-06;7.00447819639356e-06;8.74255789758968e-06;2.69369316639974e-05;4.04166395926998e-06;8.62038744618723e-06;0;7.30759557573805e-06;9.71828631626414e-06;0.000224382986665164;0.00536525772494983;2.18558351645401e-05;8.80084488110859e-06;2.91387727898036e-05;1.99590223127354e-05;5.0535039733175e-06;0;1.4081730363027e-05;1.08190979990715e-05;0;0;3.52323573970334e-06;0;3.10030606221446e-05;0;0;1.24987978586782e-05;3.63186758526599e-05;0;1.03407709835533e-05;1.14410015231295e-05;0.000173604608867186
"root";"Bacteria";"Actinobacteria";"Coriobacteriia";"Coriobacteriales";"Coriobacteriaceae";"Collinsella";"None";0.000181006739323561;0.00386870462141293;0;0.000331783166284697;0.000986297239368369;2.5830284697424e-05;4.19018936995515e-05;0.000424374715723347;0.00172407748923745;0.0101276882074403;0.000353809419125317;0.00192033337609379;2.12685295417217e-06;8.80532416621217e-05;0.0010531390287142;0.000419240247063718;0.0037219652173342;0.00485439711777202;0.00494810231901688;0.000218118338364771;0.00726372387073706;0.00229810369850865;0;0.000386150645690272;3.01076508665558e-05;0;3.10030606221446e-06;0;1.4132786955303e-05;0.000933590762277378;0.00348627706728272;5.72139425473936e-06;0.000310831410152691;0.000339539400041261;0.00148124201494464
"root";"Bacteria";"Actinobacteria";"Coriobacteriia";"Coriobacteriales";"None";"None";"None";6.83705843449769e-05;4.68191771349545e-05;0;6.34604515743516e-05;8.20524588720389e-05;3.05989526415639e-05;0.000197537498869314;6.80864928523173e-05;0.000166373477711414;3.52238790247397e-05;4.04962588155484e-05;0;6.48690151022511e-05;0.000878435910867357;4.68339324954431e-06;6.00057605530131e-06;1.68266152729852e-05;0.000173462048463409;4.87302168855616e-05;0;5.32656757210152e-05;4.42310182903216e-05;0;0;0;1.73303116972094e-06;1.24012242488578e-06;1.60305527067397e-05;2.35546449255051e-06;0.000126029545075005;0.000138642597385371;0;0.000143250092154518;9.8171174359756e-05;7.6969890632868e-05
"root";"Bacteria";"Actinobacteria";"Coriobacteriia";"None";"None";"None";"None";0.000105185514376888;4.82597672006454e-05;1.35811644339484e-05;0.000121809994297078;0.000123078688308058;5.16605693948481e-05;0.000288657489930243;2.30063948450752e-05;0.000318092296764309;0.000403593230694681;7.42938883533369e-05;4.17886311599358e-05;3.29662207896686e-05;9.16472515258818e-05;6.55675054936203e-06;3.20030722949403e-06;1.84682362752276e-05;0.000164026874279207;9.02411423806696e-05;5.61196410887061e-06;0.000431635648084089;9.86447170503575e-05;0;2.7289798281998e-06;0;2.59954675458141e-06;4.96048969954314e-06;0.0012698487822696;1.98532007229257e-05;6.52714999286527e-05;0.000231492081739128;0;0.000225976260022944;0.00159694237388972;0.000175755292849622
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"Bacteroides fragilis";0.000394445678913328;0.00212054857669702;0.00858329592225538;0.00137142720851954;0.000380243102089936;0.00742759771199312;0.000720313505978004;0.0019375115226285;0.00075830674901627;2.5677220223642e-05;0.0046923898090708;0.0011331521844764;1.70148236333773e-05;0.00334811968891449;0.00412138605959899;7.76074503152303e-05;0.00184682362752276;0.000599496452011615;0.0105473847214527;0.0237105483599783;0.0046038074549905;0.00185388426301736;0.00537987092829276;0.00117428002007438;6.18167725238859e-05;0.00172176646711776;0.00334678039416051;0.00129809308941957;0.0144497651770148;0.00141479447983649;0.0220564897526067;0.37333977398858;0.00201766690308508;0.00141388634951964;0.0149395872475156
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"Bacteroides pyogenes";0.000102994149494036;1.58464907226e-05;4.97976029244774e-05;2.51286351871594e-05;3.16869251741613e-05;8.74255789758968e-06;5.38738633279947e-05;6.21794455272304e-07;1.60913898995495e-05;1.71181468157613e-05;5.48069668180354e-06;0;0;6.19966701498612e-05;6.24452433272574e-07;7.60072967004832e-06;0;1.16125220728642e-05;0.0331639807894656;0.0295353929740454;0.00418441678983079;1.27283505871429e-06;0.000554968463169368;0.00215152769655273;7.43082446919251e-05;0.000642665725438182;0.000337003268962712;0.000130152820785673;0.000337840907217244;1.04156648822318e-05;0.000254546545541251;0.000107071806767265;4.10589436111675e-05;0.000895719699891458;0.00214210470008289
