"root";"kingdom";"phylum";"class";"order";"familly";"genre";"species";"abond1";"abond2";"abond3";"abond4";"abond5";"abond6";"abond7";"abond8";"abond9";"abond10";"abond11";"abond12";"abond13";"abond14";"abond15";"abond16";"abond17";"abond18";"abond19";"abond20";"abond21";"abond22";"abond23";"abond24";"abond25";"abond26";"abond27";"abond28";"abond29";"abond30";"abond31";"abond32";"abond33";"abond34"
"root";"Archaea";"Candidatus Thermoplasmatota";"Thermoplasmata";"Methanomassiliicoccales";"Candidatus Methanomethylophilaceae";"None";"None";-0.0606583927372297;-0.0628889215027195;-0.0871324801231324;-0.0768387584920275;-0.08623557308841;-0.0864424114080976;-0.0884150653414569;-0.0459844189768812;-0.0958505024551002;-0.079601166885234;-0.0783872724060442;-0.083424931922226;-0.0282387853302604;-0.0589807691433417;-0.0855084739059765;-0.056954233956355;-0.0600251876130984;-0.0786268988022021;-0.0620092574392534;-0.0761999823867559;-0.0813400192164619;-0.0757734766274561;-0.0783480797687203;-0.053947146892854;-0.0844146756042049;-0.0820162017551259;-0.0801804547176785;-0.0897375472165146;-0.074314063741598;-0.0953446711272055;-0.0898150641336454;-0.0469654544055987;-0.0909564956438751;-0.0756645230539054
"root";"Archaea";"Candidatus Thermoplasmatota";"Thermoplasmata";"None";"None";"None";"None";-0.0581078143762623;-0.0628889215027195;-0.0871324801231324;-0.0745847656360645;-0.0736634434857682;-0.0864424114080976;-0.0808599157035812;-0.0459844189768812;-0.05769268095779;-0.079601166885234;-0.0783872724060442;-0.083424931922226;-0.0282387853302604;-0.0589807691433417;-0.0855084739059765;-0.056954233956355;-0.0600251876130984;-0.0786268988022021;-0.0620092574392534;-0.0761999823867559;-0.0813400192164619;-0.0757734766274561;-0.0787022855831309;-0.0423736821204129;-0.0694455918645184;-0.0820162017551259;-0.0767562605255281;-0.0922560341971809;-0.053182960405814;-0.0843835711264084;-0.0898150641336454;-0.0469654544055987;-0.0828956173153121;-0.0600560987672327
"root";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"Methanobrevibacter olleyae";-0.0838097963213954;-0.0628889215027195;-0.0871324801231324;-0.0768387584920275;-0.08623557308841;-0.0864424114080976;-0.0884150653414569;-0.0459844189768812;-0.0958505024551002;-0.0787681840702246;-0.0783872724060442;-0.083424931922226;-0.0282387853302604;-0.0589807691433417;-0.0855084739059765;-0.056954233956355;-0.0600251876130984;-0.0786268988022021;-0.0620092574392534;-0.0761999823867559;-0.0813400192164619;-0.0757734766274561;-0.0804733146551836;-0.0838200166981602;-0.0844146756042049;-0.0820162017551259;-0.0801804547176785;-0.0922560341971809;-0.074314063741598;-0.0953446711272055;-0.0898150641336454;-0.0469654544055987;-0.0909564956438751;-0.0756645230539054
"root";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"Methanobrevibacter ruminantium";-0.083907895489125;-0.0628889215027195;-0.0871324801231324;-0.0768387584920275;-0.08623557308841;-0.0864424114080976;-0.0884150653414569;-0.0457950627830626;-0.0958505024551002;-0.079601166885234;-0.0783872724060442;-0.083424931922226;-0.0282387853302604;-0.0589807691433417;-0.0855084739059765;-0.056954233956355;-0.0600251876130984;-0.0786268988022021;-0.0620092574392534;-0.0761999823867559;-0.0813400192164619;-0.0757734766274561;-0.0804733146551836;-0.0838200166981602;-0.0844146756042049;-0.0820162017551259;-0.0801804547176785;-0.0922560341971809;-0.074314063741598;-0.0953446711272055;-0.0898150641336454;-0.0469654544055987;-0.0909564956438751;-0.0756645230539054
"root";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"Methanobrevibacter smithii";-0.0536933518284341;-0.0628889215027195;-0.0779024651371871;-0.0611475005332078;-0.0746539749090066;-0.0474049147303484;-0.0873246313731037;-0.043787887128586;-0.0860739286871469;-0.0296221979846703;-0.0783872724060442;-0.083424931922226;-0.0282387853302604;-0.0589807691433417;-0.0855084739059765;-0.056954233956355;-0.0600251876130984;-0.0770396355058761;-0.0620092574392534;-0.0761999823867559;-0.0813400192164619;-0.0757734766274561;-0.0804733146551836;-0.0823051652881548;-0.0844146756042049;-0.0820162017551259;-0.0801804547176785;-0.0922560341971809;-0.0715981539084722;-0.0847343263264339;-0.0834282800527046;-0.0448300328752327;-0.0837749858602462;-0.0211459984127785
"root";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"Methanobrevibacter sp.";-0.0434910383845644;-0.0628889215027195;-0.0871324801231324;-0.0742379975043779;-0.0335088234821787;-0.0864424114080976;-0.0756414102836053;-0.0449240242914973;-0.0460191600408309;0.0975465117734306;-0.0783872724060442;-0.083424931922226;-0.0282387853302604;-0.0589807691433417;-0.0855084739059765;-0.056954233956355;-0.0600251876130984;-0.0786268988022021;-0.0620092574392534;-0.0761999823867559;-0.0813400192164619;-0.0757734766274561;-0.0804733146551836;-0.0819416009497535;-0.0314140920282812;-0.0731052297557669;-0.0732003665567565;-0.0922560341971809;-0.0701408364370388;-0.0949062271271736;-0.08951450958866;-0.0469654544055987;0.0651314210819362;-0.065973984752701
"root";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"None";0.25953729073191;-0.0615689662448051;-0.0669309378897426;-0.00999920110943098;0.157054183403926;0.251154587833043;0.173055422641518;-0.0409475442213077;-0.0328134895035209;0.917340432211843;-0.0783872724060442;-0.083424931922226;-0.0282387853302604;-0.0589807691433417;-0.0855084739059765;-0.056954233956355;-0.0600251876130984;-0.0695568228231961;-0.0620092574392534;-0.0761999823867559;-0.0813400192164619;-0.0757734766274561;0.137859149347473;0.622949057153951;0.226927941699228;0.122120361018921;0.317882120119804;-0.0922560341971809;-0.0231092271316888;1.17684443936531;-0.00889075289631274;-0.0431013583030317;0.00789918494913872;0.822078780941638
"root";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanosphaera";"Methanosphaera cuniculi";-0.0597755002276641;-0.0628889215027195;-0.0871324801231324;-0.075711762064046;-0.08623557308841;-0.0864424114080976;-0.0828071192184976;-0.0450376380077884;-0.0958505024551002;-0.079601166885234;-0.0783872724060442;-0.083424931922226;-0.0282387853302604;-0.0589807691433417;-0.0855084739059765;-0.056954233956355;-0.0600251876130984;-0.0786268988022021;-0.0620092574392534;-0.0761999823867559;-0.0813400192164619;-0.0757734766274561;-0.0804733146551836;-0.0838200166981602;-0.0844146756042049;-0.0820162017551259;-0.0801804547176785;-0.0922560341971809;-0.074314063741598;-0.0953446711272055;-0.0898150641336454;-0.0469654544055987;-0.0909564956438751;-0.0756645230539054
"root";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanosphaera";"Methanosphaera sp.";-0.0836135979859364;-0.0628889215027195;-0.0871324801231324;-0.0768387584920275;-0.08623557308841;-0.0864424114080976;-0.0884150653414569;-0.0459844189768812;-0.0958505024551002;-0.079601166885234;-0.0783872724060442;-0.083424931922226;-0.0282387853302604;-0.0589807691433417;-0.0855084739059765;-0.056954233956355;-0.0600251876130984;-0.0786268988022021;-0.0620092574392534;-0.0761999823867559;-0.0813400192164619;-0.0757734766274561;-0.0804733146551836;-0.0838200166981602;-0.0844146756042049;-0.0820162017551259;-0.0801804547176785;-0.0922560341971809;-0.0668949929779372;-0.0953446711272055;-0.0898150641336454;-0.0469654544055987;-0.0909564956438751;-0.0756645230539054
"root";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanosphaera";"Methanosphaera sp. SHI1033";-0.0836135979859364;-0.0628889215027195;-0.0871324801231324;-0.0768387584920275;-0.08623557308841;-0.0864424114080976;-0.0884150653414569;-0.0459844189768812;-0.0958505024551002;-0.079601166885234;-0.0783872724060442;-0.083424931922226;-0.0282387853302604;-0.0589807691433417;-0.0855084739059765;-0.056954233956355;-0.0600251876130984;-0.0786268988022021;-0.0620092574392534;-0.0761999823867559;-0.0813400192164619;-0.0757734766274561;-0.0804733146551836;-0.0838200166981602;-0.0844146756042049;-0.0820162017551259;-0.0801804547176785;-0.0922560341971809;-0.074314063741598;-0.0953446711272055;-0.0898150641336454;-0.0469654544055987;-0.0909564956438751;-0.0756645230539054
