"metabolites";"genes";"value"
"cytosine";"bhp";0.271469598837226
"thymine";"bhp";-0.230389709984178
"caprate..10.0.";"bhp";-0.0374853985784063
"nonadecanoate..19.0.";"bhp";0.366466841809899
"arachidate..20.0.";"bhp";0.409943057512708
"maltose";"bhp";0.120510213934622
"ribose";"bhp";0.431509999160559
"asparagine";"bhp";-0.211732593796752
"fucose";"bhp";-0.100645727689968
"N.stearoyl.sphinganine..d18.0.18.0..";"bhp";0.328639110824384
"dihydroorotate";"bhp";-0.0852668289149727
"heptanoate..7.0.";"bhp";0.292523041874413
"caproate..6.0.";"bhp";0.253325981260463
"caprylate..8.0.";"bhp";0.0328639110824384
"hydroxyproline";"bhp";-0.18657116187426
"allantoin";"bhp";-0.122821134230243
"galactitol..dulcitol.";"bhp";-0.104398821759356
"xanthine";"bhp";0.170652704943704
"X5.oxoproline";"bhp";0.0932855809371299
"picolinate";"bhp";-0.324092597576254
"sarcosine";"bhp";-0.297577808542615
"pantothenate..Vitamin.B5.";"bhp";-0.125978325816014
"pipecolate";"bhp";0.258289801163539
"glycerate";"bhp";-0.143608444782114
"X3.ureidopropionate";"bhp";-0.35944902746417
"N.acetylleucine";"bhp";-0.0136181206129138
"N.acetylmethionine";"bhp";0.0477553707916683
"N.acetylvaline";"bhp";-0.115708353602752
"erucate..22.1n9.";"bhp";0.234326532665928
"bilirubin";"bhp";0.304052378464429
"tryptamine";"bhp";-0.270976802071741
"guanosine";"bhp";-0.0775382902101281
"alpha.tocopherol";"bhp";0.492102835218804
"N.acetylcysteine";"bhp";0.199429076144683
"N.carbamoylaspartate";"bhp";0.343344639878543
"N.acetylalanine";"bhp";-0.0946549105655648
"X4.acetamidobutanoate";"bhp";-0.233470701648156
"X3.aminoisobutyrate";"bhp";-0.205291019817374
"citrate";"bhp";0.235524696090809
"tyramine";"bhp";-0.30690100297298
"urate";"bhp";0.0142067948950124
"valerate..5.0.";"bhp";0.296973363166826
"oleoyl.ethanolamide";"bhp";0.071889805492834
"gamma.glutamylglutamine";"bhp";0.131979225772149
