"regne";"phylum";"classe";"ordre";"famille";"genre";"espece";"abond1";"abond2";"abond3";"abond4";"abond5";"abond6";"abond7";"abond8";"abond9";"abond10";"abond11";"abond12";"abond13";"abond14";"abond15";"abond16";"abond17";"abond18";"abond19";"abond20";"abond21";"abond22";"abond23";"abond24";"abond25";"abond26";"abond27";"abond28";"abond29";"abond30";"abond31";"abond32";"abond33";"abond34"
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Muribaculaceae";"Candidatus Homeothermus";NA;0;0;0;0;6.33738503483227e-06;0;4.32321125471563e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.39560292291332e-05;2.5265165810546e-06;0;0;6.64316217472033e-06
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Muribaculaceae";"Muribaculum";"Muribaculum intestinale";0;0;0;0;1.66773290390323e-06;0;7.64875837372765e-06;0;1.72407748923745e-06;2.63356104857867e-06;2.43586519191268e-06;0;0;0;0;0;0;0;0;0;0;2.67295362330001e-05;1.09664426853827e-05;7.91404150177943e-06;9.25650117067515e-05;0;3.10030606221446e-06;0;0;3.12469946466954e-06;1.76856160673822e-05;0;0;4.72402643535668e-05
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Muribaculaceae";"Muribaculum";NA;0;0;0;0;7.33802477717421e-06;1.98694497672493e-06;1.42998526117517e-05;0;0;1.61305614225443e-05;9.13449446967257e-06;0;0;0;8.74233406581604e-06;0;0;0;2.1296909601838e-05;1.4965237623655e-05;0;0;1.16310755754059e-05;4.85758409419565e-05;3.20294158154849e-05;2.07963740366513e-05;5.33252642700887e-05;5.00000572519739e-05;1.78342311578824e-05;8.33253190578545e-06;2.5265165810546e-06;0;2.00732613210152e-05;1.25481952189162e-05
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Muribaculaceae";"Paramuribaculum";"Paramuribaculum intestinale";0;0;0;0;1.36754098120065e-05;6.75561292086475e-06;0;3.41986950399767e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.90221009993136e-06;0;0;0;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";NA;"Candidatus Avimuribaculum";"Candidatus Avimuribaculum pullicola";0;0;0;0;3.36882046588452e-05;1.98694497672493e-06;0;0;8.04569494977475e-06;3.91742205976077e-05;4.2627640858472e-06;0;0;0;1.56113108318144e-06;0;0;1.37898699615263e-05;0;0;0;0;0;0;5.44500068863244e-06;0;0;7.13741275276269e-05;0;2.81222951820259e-05;6.94792059790015e-06;0;5.47452581482234e-06;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";NA;"Candidatus Avimuribaculum";NA;0;0;0;0;0.000102398800299658;1.47033928277645e-05;0;8.08332791853995e-06;1.72407748923745e-05;6.38638554280327e-05;0;0;0;0;0;0;0;4.35469577732408e-06;0;0;0;0;2.32621511508118e-06;0;1.95379436474458e-05;4.62141645258918e-06;0;0;1.74977362303752e-05;0;0;0;1.91608403518782e-05;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";NA;"Candidatus Cryptobacteroides";"Candidatus Cryptobacteroides excrementigallinarum";0;0;0;0;6.00383845405162e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.24914721680391e-05;5.48793203744965e-06;1.36413466737436e-05;0;0;0;0;0;0;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella";"Alloprevotella sp. OH1205_COT-284";0;0;0;0;0.000193790563433555;3.97388995344985e-07;0;0;8.04569494977475e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Marseilla";"Marseilla massiliensis";0;0;0;0;3.33546580780646e-06;3.02015636462189e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Marseilla";NA;0;0;0;0;2.00127948468387e-06;0;2.66043769520962e-06;0;1.23558886728684e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.1289822613198e-05;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"Prevotella albensis";0;0;0;0;1.66773290390323e-06;0;0;0;0;0;0;0;0;5.69051561762011e-06;0;0;0;0;0;0;0;0;0;0;8.00735395387124e-06;0;0;0;0;0;0;0;0;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"Prevotella mizrahii";0;0;0;0;7.00447819639356e-06;2.38433397206991e-06;5.98598481422164e-06;0;9.48242619080595e-06;1.11926344564593e-05;0;0;0;1.52745419209803e-05;0;0;0;0;5.0535039733175e-06;0;2.75512115798355e-06;0;0;2.18318386255984e-06;0.000108579719614494;0;0;0;6.66259956464286e-05;2.32616515703177e-05;0;1.38948146186527e-05;0;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"Prevotella pleuritidis";0;0;0;0;1.66773290390323e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"Prevotella sp. CAG:279";0;0;0;0;2.93520991086968e-05;1.23190588556945e-05;3.15926976306142e-05;0;0.000113214421793259;0;7.91656187371622e-06;0;0;0;7.49342919927089e-06;0;0;0;0;4.11544034650511e-06;0;2.22746135275001e-06;2.99084800510438e-05;5.32151066498962e-05;0.000135804723057656;1.12647026031861e-05;3.41033666843591e-06;0;5.45121782561689e-05;9.30466062812709e-05;1.89488743579095e-05;0;1.94649806749239e-05;4.42877478314689e-06
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"Prevotella sp. CAG:5226";0;0;0;0;1.86786085237162e-05;0;0;1.86538336581691e-06;0;0;0;0;0;0;0;0;0;0;0;0;3.67349487731139e-06;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"Prevotella sp. P4-119";0;0;0;0;1.00063974234194e-06;0;0;0;4.59753997129986e-06;0;0;0;0;0;0;1.92018433769642e-05;0;0;0;0;0;0;0;0;3.84352989785819e-06;4.04373939601553e-06;0;0;2.69195942005772e-06;0;0;0;0;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"Prevotella sp. P4-98";0;0;0;0;2.06798880084e-05;4.21232335065684e-05;3.99065654281442e-06;4.66345841454228e-06;0;0;0;0;0;0;3.43448838299916e-06;0;0;0;0;2.99304752473099e-06;0;0;2.32621511508118e-05;0;0;2.88838528286824e-06;0;0;6.39340362263709e-06;0;4.73721858947737e-06;0;0;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Pseudoprevotella";NA;0;0;0;0;4.00255896936775e-06;0.00013948353736609;4.32321125471563e-06;0;1.46546586585183e-05;0;0;0;0;1.49750410990003e-06;2.4978097330903e-06;0;0;0;0;0;0;0;0;0;8.00735395387124e-06;2.59954675458141e-06;0;0;5.38391884011544e-06;0;0;7.35607832752203e-06;0;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Rikenellaceae";"Alistipes";"Alistipes putredinis";0;0;0;0;1.86786085237162e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Rikenellaceae";"Alistipes";"Candidatus Alistipes faecigallinarum";0;0;0;0;4.36946020822646e-05;0;0;9.32691682908456e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.78840747313222e-05;0;0.000115305896935746;0;8.09179882237975e-05;0;3.86969166633298e-05;0;2.40019075200187e-05;0;0.000321172181136244;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Rikenellaceae";"Candidatus Coprenecus";"Candidatus Coprenecus pullicola";0;0;0;0;1.06734905849807e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.38391884011544e-06;0;0;0;0;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Rikenellaceae";"Candidatus Coprenecus";NA;0;0;0;0;7.30467011909614e-05;0;0;0;0;6.25470749037433e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3644899140999e-06;8.90417759670481e-05;0;1.89118669795082e-05;0;3.97064014458514e-05;4.27042260171504e-05;0;0;4.86624516873097e-06;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Tannerellaceae";"Parabacteroides";"Parabacteroides johnsonii";0;0;0;0;1.43425029735678e-05;3.57650095810487e-06;7.98131308562885e-06;0;7.01124845623228e-05;0;3.04483148989085e-06;0;0;0;0;0;0;0;0;0;0;0;0;3.54767377665975e-06;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Tannerellaceae";"Tannerella";"Tannerella sp. 6_1_58FAA_CT1";0;0;0;0;5.67029187327098e-06;0;0;0;2.58611623385617e-06;0;0;0;0;0;0;0;0;1.16125220728642e-05;0;3.74130940591374e-07;0;0;1.32926578004639e-06;0;5.76529484678729e-06;0;0;7.25191670066798e-05;0;4.51345478230045e-06;1.45274703410639e-05;0;7.60350807614214e-06;6.53244280514166e-05
"Bacteria";"Bacteroidetes";"Flavobacteriia";"Flavobacteriales";"Weeksellaceae";"Bergeyella";NA;0;0;0;0;5.33674529249033e-06;1.98694497672493e-06;5.65343010232043e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Bacteroidetes";"Flavobacteriia";"Flavobacteriales";"Weeksellaceae";"Riemerella";"Riemerella anatipestifer";0;0;0;0;2.33482606546452e-06;0;2.99299240711082e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bacteria";"Bacteroidetes";NA;NA;NA;NA;"Bacteroidetes bacterium ADurb.Bin013";0;0;0;0;4.00255896936775e-06;0;5.65343010232043e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.43193944105358e-05;0;4.36636772511969e-06;1.6975590382207e-05;0;0;0;0;0;0;0;2.88933306893401e-05;0
